timestamp, power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2023/05/07 14:59:35.337, 37.21 W, 33, 0 MiB, 39 %, 0 %
2023/05/07 14:59:36.343, 37.22 W, 33, 0 MiB, 0 %, 0 %
2023/05/07 14:59:37.347, 37.02 W, 33, 0 MiB, 0 %, 0 %
2023/05/07 14:59:38.352, 36.83 W, 33, 0 MiB, 0 %, 0 %
2023/05/07 14:59:39.356, 36.73 W, 32, 0 MiB, 0 %, 0 %
2023/05/07 14:59:40.360, 36.73 W, 32, 0 MiB, 0 %, 0 %
2023/05/07 14:59:41.366, 36.50 W, 32, 0 MiB, 0 %, 0 %
2023/05/07 14:59:42.372, 41.08 W, 32, 583 MiB, 10 %, 0 %
2023/05/07 14:59:43.376, 40.98 W, 32, 797 MiB, 2 %, 0 %
2023/05/07 14:59:44.380, 36.44 W, 32, 969 MiB, 1 %, 0 %
2023/05/07 14:59:45.385, 36.23 W, 31, 969 MiB, 0 %, 0 %
2023/05/07 14:59:46.389, 36.42 W, 31, 38007 MiB, 0 %, 0 %
2023/05/07 14:59:47.394, 36.73 W, 31, 38007 MiB, 0 %, 0 %
2023/05/07 14:59:48.399, 36.42 W, 31, 38007 MiB, 0 %, 0 %
2023/05/07 14:59:49.404, 36.42 W, 31, 38007 MiB, 0 %, 0 %
2023/05/07 14:59:50.410, 36.33 W, 31, 38007 MiB, 0 %, 0 %
2023/05/07 14:59:51.416, 36.23 W, 30, 38007 MiB, 0 %, 0 %
2023/05/07 14:59:52.422, 36.23 W, 30, 38007 MiB, 0 %, 0 %
2023/05/07 14:59:53.429, 36.05 W, 30, 38007 MiB, 0 %, 0 %
2023/05/07 14:59:54.435, 36.13 W, 30, 38225 MiB, 5 %, 0 %
2023/05/07 14:59:55.442, 36.23 W, 30, 38659 MiB, 1 %, 0 %
2023/05/07 14:59:56.449, 71.23 W, 31, 38907 MiB, 49 %, 8 %
2023/05/07 14:59:57.455, 123.13 W, 34, 38907 MiB, 76 %, 6 %
2023/05/07 14:59:58.459, 100.91 W, 34, 38907 MiB, 76 %, 6 %
2023/05/07 14:59:59.463, 136.46 W, 35, 38907 MiB, 75 %, 6 %
