timestamp, power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2023/05/05 15:45:58.635, 36.98 W, 36, 0 MiB, 40 %, 0 %
2023/05/05 15:45:59.641, 37.07 W, 35, 0 MiB, 0 %, 0 %
2023/05/05 15:46:00.645, 36.68 W, 35, 3 MiB, 0 %, 0 %
2023/05/05 15:46:01.651, 37.65 W, 35, 665 MiB, 12 %, 0 %
2023/05/05 15:46:02.658, 37.46 W, 34, 1093 MiB, 0 %, 0 %
2023/05/05 15:46:03.664, 36.57 W, 34, 2193 MiB, 5 %, 0 %
2023/05/05 15:46:04.671, 250.26 W, 40, 7711 MiB, 90 %, 61 %
2023/05/05 15:46:05.675, 166.42 W, 42, 7711 MiB, 87 %, 60 %
2023/05/05 15:46:06.680, 210.47 W, 43, 7711 MiB, 92 %, 62 %
2023/05/05 15:46:07.685, 57.21 W, 37, 7711 MiB, 0 %, 0 %
2023/05/05 15:46:08.692, 183.37 W, 42, 7711 MiB, 93 %, 63 %
2023/05/05 15:46:09.697, 237.26 W, 44, 7711 MiB, 90 %, 61 %
2023/05/05 15:46:10.701, 259.11 W, 44, 7711 MiB, 91 %, 62 %
2023/05/05 15:46:11.709, 57.45 W, 38, 7711 MiB, 0 %, 0 %
2023/05/05 15:46:12.714, 241.68 W, 44, 7711 MiB, 93 %, 63 %
2023/05/05 15:46:13.719, 265.10 W, 45, 7711 MiB, 87 %, 61 %
2023/05/05 15:46:14.723, 193.51 W, 44, 7711 MiB, 89 %, 62 %
2023/05/05 15:46:15.729, 57.71 W, 38, 7711 MiB, 0 %, 0 %
2023/05/05 15:46:16.735, 230.89 W, 44, 7711 MiB, 90 %, 61 %
2023/05/05 15:46:17.739, 247.15 W, 45, 7711 MiB, 91 %, 61 %
2023/05/05 15:46:18.743, 253.90 W, 45, 7711 MiB, 91 %, 62 %
2023/05/05 15:46:19.748, 57.92 W, 39, 7711 MiB, 0 %, 0 %
2023/05/05 15:46:20.755, 268.08 W, 44, 7711 MiB, 91 %, 61 %
2023/05/05 15:46:21.760, 193.58 W, 45, 7711 MiB, 89 %, 61 %
2023/05/05 15:46:22.764, 255.00 W, 45, 7711 MiB, 89 %, 61 %
2023/05/05 15:46:23.770, 58.00 W, 39, 7711 MiB, 0 %, 0 %
2023/05/05 15:46:24.775, 195.04 W, 44, 7711 MiB, 89 %, 62 %
2023/05/05 15:46:25.786, 241.96 W, 45, 7711 MiB, 91 %, 62 %
2023/05/05 15:46:26.791, 262.46 W, 46, 7711 MiB, 90 %, 60 %
2023/05/05 15:46:27.796, 58.61 W, 40, 7711 MiB, 0 %, 0 %
2023/05/05 15:46:28.800, 251.95 W, 45, 7711 MiB, 87 %, 60 %
2023/05/05 15:46:29.807, 194.90 W, 46, 7711 MiB, 89 %, 62 %
2023/05/05 15:46:30.818, 262.08 W, 46, 7711 MiB, 88 %, 60 %
2023/05/05 15:46:31.822, 58.71 W, 40, 7711 MiB, 0 %, 0 %
2023/05/05 15:46:32.825, 249.59 W, 44, 7711 MiB, 88 %, 59 %
2023/05/05 15:46:33.830, 255.66 W, 46, 7711 MiB, 89 %, 61 %
2023/05/05 15:46:34.837, 265.41 W, 46, 7711 MiB, 90 %, 61 %
2023/05/05 15:46:35.841, 62.07 W, 41, 7711 MiB, 33 %, 2 %
2023/05/05 15:46:36.870, 226.00 W, 45, 7711 MiB, 92 %, 62 %
2023/05/05 15:46:37.875, 241.87 W, 46, 7711 MiB, 91 %, 61 %
2023/05/05 15:46:38.880, 255.10 W, 46, 7711 MiB, 89 %, 59 %
2023/05/05 15:46:39.891, 61.78 W, 41, 7711 MiB, 0 %, 0 %
2023/05/05 15:46:40.911, 265.30 W, 46, 7711 MiB, 88 %, 59 %
2023/05/05 15:46:41.916, 201.95 W, 47, 7711 MiB, 91 %, 62 %
2023/05/05 15:46:42.925, 259.10 W, 47, 7711 MiB, 89 %, 61 %
2023/05/05 15:46:43.930, 62.25 W, 41, 7711 MiB, 0 %, 0 %
